[Radio] Initializing ... success!
Connected to RF power monitor: Rohde&Schwarz,FPC1500,1328.6660K03/205785,V1.80
Connected to DC power monitor: radiolib-org,DCpowerMon,070dd3d
setCurrentLimit, code 0

Set [dBm],paDutyCycle,hpMax,Measured [dBm],Bus voltage[V],Voltage[mV],Current[mA],Power [mW],Efficiency [%]
       -1,          3,    6,         -0.87,          3.31,       2.60,      25.96,     85.85,          1.32
       -1,          3,    7,         -0.64,          3.31,       2.70,      27.05,     89.47,          1.31
       -1,          4,    1,         -6.65,          3.31,       1.56,      15.57,     51.49,          0.78
       -1,          4,    2,         -3.28,          3.31,       2.01,      20.07,     66.39,          1.10
       -1,          4,    3,         -1.89,          3.31,       2.28,      22.82,     75.46,          1.25
       -1,          4,    4,         -1.13,          3.31,       2.48,      24.81,     82.04,          1.32
       -1,          4,    5,         -0.74,          3.31,       2.64,      26.38,     87.25,          1.33
       -1,          4,    6,         -0.69,          3.31,       2.77,      27.69,     91.55,          1.26
       -1,          4,    7,         -0.10,          3.31,       2.89,      28.92,     95.64,          1.36
        0,          1,    1,         -8.22,          3.31,       1.34,      13.40,     44.34,          0.73
        0,          1,    2,         -5.05,          3.31,       1.65,      16.53,     54.66,          1.01
        0,          1,    3,         -3.76,          3.31,       1.85,      18.55,     61.37,          1.12
        0,          1,    4,         -3.01,          3.31,       2.01,      20.13,     66.57,          1.17
        0,          1,    5,         -2.45,          3.31,       2.16,      21.60,     71.43,          1.19
        0,          1,    6,         -2.35,          3.31,       2.29,      22.89,     75.69,          1.12
        0,          1,    7,         -1.63,          3.31,       2.41,      24.10,     79.70,          1.23
        0,          2,    1,         -7.21,          3.31,       1.44,      14.37,     47.53,          0.80
        0,          2,    2,         -3.93,          3.31,       1.81,      18.13,     59.98,          1.12
        0,          2,    3,         -2.50,          3.31,       2.06,      20.60,     68.12,          1.27
        0,          2,    4,         -1.63,          3.31,       2.26,      22.61,     74.80,          1.35
        0,          2,    5,         -1.12,          3.31,       2.42,      24.21,     80.08,          1.37
        0,          2,    6,         -0.99,          3.31,       2.57,      25.68,     84.92,          1.30
        0,          2,    7,         -0.38,          3.31,       2.68,      26.85,     88.80,          1.41
        0,          3,    1,         -6.39,          3.31,       1.54,      15.36,     50.80,          0.85
        0,          3,    2,         -3.03,          3.31,       1.98,      19.77,     65.40,          1.19
        0,          3,    3,         -1.58,          3.31,       2.26,      22.58,     74.67,          1.36
        0,          3,    4,         -0.76,          3.31,       2.47,      24.71,     81.72,          1.45
        0,          3,    5,         -0.31,          3.31,       2.63,      26.29,     86.95,          1.47
        0,          3,    6,         -0.24,          3.31,       2.76,      27.58,     91.22,          1.40
        0,          3,    7,          0.28,          3.31,       2.88,      28.74,     95.04,          1.49
        0,          4,    1,         -5.77,          3.31,       1.64,      16.39,     54.20,          0.86
        0,          4,    2,         -2.37,          3.31,       2.13,      21.31,     70.49,          1.23
        0,          4,    3,         -0.97,          3.31,       2.43,      24.33,     80.45,          1.41
        0,          4,    4,         -0.20,          3.31,       2.65,      26.48,     87.58,          1.49
        0,          4,    5,          0.21,          3.31,       2.81,      28.15,     93.07,          1.51
        0,          4,    6,          0.25,          3.31,       2.95,      29.53,     97.65,          1.43
        0,          4,    7,          0.44,          3.31,       3.08,      30.78,    101.75,          1.42
        1,          1,    1,         -7.83,          3.31,       1.39,      13.92,     46.03,          0.74
        1,          1,    2,         -4.25,          3.31,       1.73,      17.29,     57.19,          1.13
        1,          1,    3,         -2.95,          3.31,       1.95,      19.48,     64.44,          1.25
        1,          1,    4,         -2.20,          3.31,       2.11,      21.09,     69.75,          1.31
        1,          1,    5,         -1.60,          3.31,       2.27,      22.69,     75.05,          1.35
        1,          1,    6,         -1.18,          3.31,       2.41,      24.04,     79.51,          1.37
        1,          1,    7,         -0.89,          3.31,       2.53,      25.34,     83.79,          1.36
        1,          2,    1,         -6.70,          3.31,       1.50,      15.00,     49.60,          0.82
        1,          2,    2,         -3.13,          3.31,       1.90,      19.04,     62.97,          1.24
        1,          2,    3,         -1.69,          3.31,       2.17,      21.72,     71.84,          1.41
        1,          2,    4,         -0.82,          3.31,       2.38,      23.81,     78.74,          1.50
        1,          2,    5,         -0.25,          3.31,       2.56,      25.57,     84.53,          1.55
        1,          2,    6,          0.15,          3.31,       2.70,      27.04,     89.41,          1.58
        1,          2,    7,          0.44,          3.31,       2.83,      28.31,     93.63,          1.58
        1,          3,    1,         -5.62,          3.31,       1.61,      16.07,     53.16,          0.93
        1,          3,    2,         -2.27,          3.31,       2.08,      20.80,     68.79,          1.31
        1,          3,    3,         -1.11,          3.31,       2.39,      23.85,     78.88,          1.40
        1,          3,    4,          0.07,          3.31,       2.62,      26.17,     86.55,          1.62
        1,          3,    5,          0.54,          3.31,       2.78,      27.81,     91.95,          1.66
        1,          3,    6,          0.88,          3.31,       2.92,      29.21,     96.60,          1.68
        1,          3,    7,          1.11,          3.31,       3.04,      30.36,    100.37,          1.68
        1,          4,    1,         -4.99,          3.31,       1.72,      17.15,     56.75,          0.96
        1,          4,    2,         -1.56,          3.31,       2.25,      22.50,     74.40,          1.38
        1,          4,    3,         -0.26,          3.31,       2.58,      25.82,     85.37,          1.53
        1,          4,    4,          0.28,          3.31,       2.81,      28.12,     92.99,          1.54
        1,          4,    5,          0.68,          3.31,       2.98,      29.84,     98.69,          1.56
        1,          4,    6,          1.41,          3.31,       3.13,      31.26,    103.37,          1.74
        1,          4,    7,          1.65,          3.31,       3.26,      32.62,    107.87,          1.74
        2,          1,    1,         -6.44,          3.31,       1.47,      14.71,     48.65,          0.91
        2,          1,    2,         -3.18,          3.31,       1.85,      18.45,     61.03,          1.29
        2,          1,    3,         -1.87,          3.31,       2.08,      20.76,     68.65,          1.45
        2,          1,    4,         -1.12,          3.31,       2.26,      22.59,     74.70,          1.52
        2,          1,    5,         -0.57,          3.31,       2.43,      24.25,     80.19,          1.55
        2,          1,    6,         -0.42,          3.31,       2.57,      25.71,     85.03,          1.48
        2,          1,    7,         -0.13,          3.31,       2.71,      27.08,     89.53,          1.48
        2,          2,    1,         -5.81,          3.31,       1.58,      15.84,     52.39,          0.92
        2,          2,    2,         -2.06,          3.31,       2.03,      20.33,     67.27,          1.43
        2,          2,    3,         -0.61,          3.31,       2.34,      23.35,     77.22,          1.62
